amfi_code,HHI,scheme_name,Concentration
119092,0.20644766999999994,Axis Bluechip Fund - Regular - Growth,Moderately Concentrated
101207,0.20070043,ABSL Small Cap Fund - Regular - Growth,Moderately Concentrated
119599,0.17475095999999998,SBI Small Cap Fund - Direct Plan - Growth,Moderately Concentrated
102885,0.17470902,UTI Nifty 50 Index Fund - Regular - Growth,Moderately Concentrated
118632,0.1682982,Nippon India Large Cap Fund - Regular - Growth,Moderately Concentrated
148568,0.16792973,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately Concentrated
120505,0.15757036000000002,ICICI Pru Midcap Fund - Regular - Growth,Moderately Concentrated
120506,0.1537936,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately Concentrated
125498,0.15241398,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Moderately Concentrated
120841,0.14968035000000002,Kotak Bluechip Fund - Regular - Growth,Highly Diversified
148569,0.14939642,Mirae Asset Tax Saver Fund - Regular - Growth,Highly Diversified
100033,0.14759225999999998,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Highly Diversified
149323,0.14162096000000002,DSP Midcap Fund - Regular - Growth,Highly Diversified
120503,0.14087026,ICICI Pru Bluechip Fund - Regular - Growth,Highly Diversified
100016,0.13953386,HDFC Top 100 Fund - Regular Plan - Growth,Highly Diversified
148567,0.13858416999999998,Mirae Asset Large Cap Fund - Regular - Growth,Highly Diversified
125497,0.13658554,HDFC Top 100 Fund - Direct Plan - Growth,Highly Diversified
119094,0.13640591000000002,Axis Midcap Fund - Regular - Growth,Highly Diversified
118635,0.13594415,Nippon India ETF Nifty 50 BeES,Highly Diversified
149322,0.13439797,DSP Top 100 Equity Fund - Regular - Growth,Highly Diversified
119093,0.13089424,Axis Bluechip Fund - Direct - Growth,Highly Diversified
102887,0.12980494999999997,UTI Flexi Cap Fund - Regular - Growth,Highly Diversified
101206,0.12933173,ABSL Frontline Equity Fund - Regular - Growth,Highly Diversified
120843,0.12868306000000002,Kotak Flexicap Fund - Regular - Growth,Highly Diversified
120842,0.12743880999999999,Kotak Emerging Equity Fund - Regular - Growth,Highly Diversified
118633,0.12146086,Nippon India Large Cap Fund - Direct - Growth,Highly Diversified
119551,0.11871551999999999,SBI Bluechip Fund - Regular Plan - Growth,Highly Diversified
149324,0.11867710000000001,DSP Small Cap Fund - Regular - Growth,Highly Diversified
102886,0.11469284,UTI Mid Cap Fund - Regular - Growth,Highly Diversified
119095,0.10960535000000002,Axis Small Cap Fund - Regular - Growth,Highly Diversified
120504,0.10867415000000001,ICICI Pru Bluechip Fund - Direct - Growth,Highly Diversified
118634,0.10835772,Nippon India Small Cap Fund - Regular - Growth,Highly Diversified
119552,0.10801068999999998,SBI Bluechip Fund - Direct Plan - Growth,Highly Diversified
119598,0.10734895,SBI Small Cap Fund - Regular Plan - Growth,Highly Diversified
