investor_id,avg_gap_days,risk_status,state,city,age_group
INV000004,85.4,At Risk,Punjab,Chandigarh,26-35
INV000008,70.4,At Risk,Punjab,Amritsar,26-35
INV000010,64.8,At Risk,Maharashtra,Pune,36-45
INV000011,40.166666666666664,At Risk,West Bengal,Kolkata,26-35
INV000012,57.0,At Risk,Uttar Pradesh,Kanpur,46-55
INV000013,55.333333333333336,At Risk,Maharashtra,Nashik,18-25
INV000014,75.33333333333333,At Risk,Tamil Nadu,Chennai,18-25
INV000023,58.57142857142857,At Risk,West Bengal,Kolkata,46-55
INV000028,93.6,At Risk,Gujarat,Surat,18-25
INV000029,60.666666666666664,At Risk,Rajasthan,Udaipur,26-35
INV000030,47.625,At Risk,Delhi,Noida,18-25
INV000033,45.57142857142857,At Risk,Delhi,New Delhi,36-45
INV000039,68.6,At Risk,Madhya Pradesh,Bhopal,26-35
INV000045,70.6,At Risk,Uttar Pradesh,Lucknow,36-45
INV000048,46.0,At Risk,Rajasthan,Jaipur,36-45
INV000052,36.2,At Risk,Tamil Nadu,Coimbatore,26-35
INV000056,74.8,At Risk,Haryana,Faridabad,26-35
INV000057,49.714285714285715,At Risk,Tamil Nadu,Chennai,36-45
INV000069,49.111111111111114,At Risk,Gujarat,Ahmedabad,56+
INV000072,83.0,At Risk,Gujarat,Ahmedabad,18-25
INV000073,48.25,At Risk,Punjab,Amritsar,18-25
INV000074,72.57142857142857,At Risk,Rajasthan,Jaipur,26-35
INV000075,74.8,At Risk,Madhya Pradesh,Bhopal,36-45
INV000076,91.8,At Risk,Gujarat,Ahmedabad,56+
INV000079,65.8,At Risk,Gujarat,Surat,26-35
INV000081,81.33333333333333,At Risk,Gujarat,Surat,36-45
INV000082,83.66666666666667,At Risk,Rajasthan,Udaipur,26-35
INV000086,44.666666666666664,At Risk,Karnataka,Mysore,18-25
INV000087,92.8,At Risk,Rajasthan,Jaipur,36-45
INV000091,44.0,At Risk,Haryana,Gurugram,26-35
INV000093,55.5,At Risk,Maharashtra,Mumbai,36-45
INV000094,44.8,At Risk,West Bengal,Kolkata,18-25
INV000095,69.4,At Risk,West Bengal,Kolkata,18-25
INV000097,54.5,At Risk,Karnataka,Mysore,18-25
INV000101,65.0,At Risk,Madhya Pradesh,Indore,26-35
INV000102,65.28571428571429,At Risk,Gujarat,Surat,26-35
INV000103,83.4,At Risk,Punjab,Chandigarh,26-35
INV000105,57.0,At Risk,Punjab,Chandigarh,56+
INV000109,46.25,At Risk,Karnataka,Bangalore,26-35
INV000113,46.0,At Risk,Punjab,Chandigarh,26-35
INV000123,59.666666666666664,At Risk,Punjab,Chandigarh,46-55
INV000128,82.0,At Risk,Rajasthan,Jaipur,36-45
INV000131,56.0,At Risk,Telangana,Hyderabad,36-45
INV000132,71.0,At Risk,Karnataka,Bangalore,46-55
INV000133,88.2,At Risk,Karnataka,Bangalore,26-35
INV000138,76.2,At Risk,Telangana,Hyderabad,26-35
INV000145,89.4,At Risk,Delhi,New Delhi,26-35
INV000146,66.8,At Risk,Delhi,Gurugram,26-35
INV000148,52.0,At Risk,Telangana,Hyderabad,18-25
INV000155,37.333333333333336,At Risk,Madhya Pradesh,Bhopal,26-35
INV000161,73.0,At Risk,Rajasthan,Jaipur,18-25
INV000163,61.0,At Risk,Uttar Pradesh,Kanpur,46-55
INV000164,61.8,At Risk,Rajasthan,Udaipur,18-25
INV000169,67.83333333333333,At Risk,Rajasthan,Jaipur,26-35
INV000173,57.666666666666664,At Risk,Maharashtra,Mumbai,26-35
INV000175,83.66666666666667,At Risk,Karnataka,Bangalore,26-35
INV000177,65.42857142857143,At Risk,Rajasthan,Jaipur,26-35
INV000180,61.8,At Risk,Tamil Nadu,Coimbatore,46-55
INV000183,56.125,At Risk,Tamil Nadu,Coimbatore,26-35
INV000191,56.5,At Risk,Karnataka,Bangalore,26-35
INV000194,58.0,At Risk,Maharashtra,Pune,36-45
INV000195,77.4,At Risk,Madhya Pradesh,Bhopal,36-45
INV000196,69.0,At Risk,Tamil Nadu,Chennai,26-35
INV000201,51.125,At Risk,Madhya Pradesh,Indore,46-55
INV000205,62.57142857142857,At Risk,Haryana,Faridabad,18-25
INV000210,70.71428571428571,At Risk,Rajasthan,Jaipur,26-35
INV000214,94.8,At Risk,Madhya Pradesh,Indore,26-35
INV000217,92.0,At Risk,Tamil Nadu,Chennai,56+
INV000228,59.75,At Risk,Karnataka,Bangalore,26-35
INV000236,67.14285714285714,At Risk,Karnataka,Bangalore,36-45
INV000238,93.6,At Risk,Telangana,Hyderabad,36-45
INV000239,48.857142857142854,At Risk,Punjab,Amritsar,36-45
INV000243,88.2,At Risk,Punjab,Chandigarh,26-35
INV000245,92.2,At Risk,Punjab,Amritsar,26-35
INV000249,45.5,At Risk,Punjab,Amritsar,26-35
INV000252,50.4,At Risk,Gujarat,Surat,46-55
INV000255,48.6,At Risk,Haryana,Gurugram,26-35
INV000256,70.2,At Risk,Delhi,New Delhi,36-45
INV000259,70.6,At Risk,Tamil Nadu,Coimbatore,36-45
INV000260,59.57142857142857,At Risk,Delhi,Gurugram,18-25
INV000262,53.57142857142857,At Risk,Telangana,Hyderabad,36-45
INV000263,68.42857142857143,At Risk,Madhya Pradesh,Bhopal,56+
INV000265,53.44444444444444,At Risk,Madhya Pradesh,Bhopal,36-45
INV000268,62.333333333333336,At Risk,Haryana,Gurugram,18-25
INV000279,43.375,At Risk,Gujarat,Ahmedabad,26-35
INV000280,55.75,At Risk,Punjab,Amritsar,26-35
INV000283,68.0,At Risk,West Bengal,Kolkata,46-55
INV000287,69.83333333333333,At Risk,Uttar Pradesh,Kanpur,56+
INV000289,62.714285714285715,At Risk,Delhi,Gurugram,36-45
INV000291,89.0,At Risk,Madhya Pradesh,Indore,18-25
INV000292,46.0,At Risk,Uttar Pradesh,Lucknow,18-25
INV000293,47.0,At Risk,Karnataka,Mysore,26-35
INV000297,90.6,At Risk,Gujarat,Ahmedabad,26-35
INV000299,85.2,At Risk,Delhi,Noida,26-35
INV000304,70.0,At Risk,West Bengal,Kolkata,36-45
INV000309,52.0,At Risk,Delhi,Gurugram,26-35
INV000310,75.83333333333333,At Risk,Delhi,Noida,36-45
INV000318,97.4,At Risk,Madhya Pradesh,Bhopal,46-55
INV000319,73.5,At Risk,Maharashtra,Mumbai,56+
INV000321,72.83333333333333,At Risk,Maharashtra,Mumbai,26-35
INV000328,37.5,At Risk,Madhya Pradesh,Bhopal,26-35
INV000331,50.714285714285715,At Risk,Madhya Pradesh,Indore,36-45
INV000334,25.5,Regular,Uttar Pradesh,Lucknow,56+
INV000335,96.0,At Risk,Maharashtra,Mumbai,26-35
INV000339,94.0,At Risk,Uttar Pradesh,Kanpur,26-35
INV000341,54.42857142857143,At Risk,Delhi,New Delhi,26-35
INV000356,54.4,At Risk,Haryana,Faridabad,56+
